business_name,rating,total_ratings,address,phone_number,website,google_map
Preferred Plumbing & Drain,4.5,(171),Plumber,+1 916-485-5100,https://www.emergencyplumbersca.com/,https://www.google.com/maps/place/Preferred+Plumbing+%26+Drain/data=!4m7!3m6!1s0x809ad91d9785c22b:0x734ea97503543ba5!8m2!3d38.6543851!4d-121.3848217!16s%2Fg%2F1tn4ydtg!19sChIJK8KFlx3ZmoARpTtUA3WpTnM?authuser=0&hl=en&rclk=1
A-1 Allstar Plumbing,4.7,(157),Plumber,+1 559-206-6172,https://www.a-1allstarplumbing.com/,https://www.google.com/maps/place/A-1+Allstar+Plumbing/data=!4m7!3m6!1s0x8094c381cd55474b:0xdce7e484aa9d2744!8m2!3d36.3242088!4d-119.6424378!16s%2Fg%2F1tj2j45d!19sChIJS0dVzYHDlIARRCedqoTk59w?authuser=0&hl=en&rclk=1
Valley Star Plumbing,4.9,(97),Plumber,+1 559-301-7996,https://valleystarplumbing.com/?utm_source=cumulus&utm_medium=onlinepresence&utm_campaign=gbp,https://www.google.com/maps/place/Valley+Star+Plumbing/data=!4m7!3m6!1s0x8b31ddb89508d65d:0xa6bdfe3b71183af4!8m2!3d36.7463754!4d-119.6396585!16s%2Fg%2F11vclzxx0d!19sChIJXdYIlbjdMYsR9DoYcTv-vaY?authuser=0&hl=en&rclk=1
Cal Plumbing & heating INC,4.9,(73),Plumber,+1 760-717-8521,https://calplumbingandheating.com/,https://www.google.com/maps/place/Cal+Plumbing+%26+heating+INC/data=!4m7!3m6!1s0x80dc745e0724d3dd:0x6a7f4c02048c8c0b!8m2!3d33.1968426!4d-117.1915654!16s%2Fg%2F1q5hrgyj5!19sChIJ3dMkB1503IARC4yMBAJMf2o?authuser=0&hl=en&rclk=1
Art of Plumbing,5.0,(49),Plumber,+1 559-635-1490,https://www.manta.com/c/mttqfty/the-art-of-plumbing,https://www.google.com/maps/place/Art+of+Plumbing/data=!4m7!3m6!1s0x8095286555555555:0x457cc17e76602748!8m2!3d36.6872084!4d-119.449746!16s%2Fg%2F1wk7r2x4!19sChIJVVVVVWUolYARSCdgdn7BfEU?authuser=0&hl=en&rclk=1
Chase & Sons Plumbing,4.4,(39),Plumber,+1 559-220-8200,,https://www.google.com/maps/place/Chase+%26+Sons+Plumbing/data=!4m7!3m6!1s0x80946756056f2ef9:0xcfe0f4253ba196ce!8m2!3d36.7611689!4d-119.7896475!16s%2Fg%2F1tgx6vvk!19sChIJ-S5vBVZnlIARzpahOyX04M8?authuser=0&hl=en&rclk=1
Beach Plumbing,4.9,(297),Plumber,+1 714-439-9556,https://www.beachplumbingservices.com/,https://www.google.com/maps/place/Beach+Plumbing/data=!4m7!3m6!1s0x80dd2febe0405c33:0x1492e29b83f99573!8m2!3d33.809564!4d-118.0365412!16s%2Fg%2F11r80w__l9!19sChIJM1xA4Osv3YARc5X5g5vikhQ?authuser=0&hl=en&rclk=1
Valley Plumbing,4.9,(123),Plumber,+1 818-436-6398,https://www.valley-plumbing.com/,https://www.google.com/maps/place/Valley+Plumbing/data=!4m7!3m6!1s0x80c297dc53be016d:0xd7d52952cee08668!8m2!3d34.2071473!4d-118.4180031!16s%2Fg%2F11sv2hvths!19sChIJbQG-U9yXwoARaIbgzlIp1dc?authuser=0&hl=en&rclk=1
Clear Water Plumbing,4.9,(181),Plumber,+1 949-308-3010,http://clearwaterplumbingoc.com/,https://www.google.com/maps/place/Clear+Water+Plumbing/data=!4m7!3m6!1s0x80dcf5744a7f94b5:0x145f8663a2edee64!8m2!3d33.4524253!4d-117.6179898!16s%2Fg%2F11s1rrt63w!19sChIJtZR_SnT13IARZO7tomOGXxQ?authuser=0&hl=en&rclk=1
Rooter Hero Plumbing & Air San Fernando Valley,4.9,(774),Plumber,+1 818-322-0624,https://rooterhero.com/san-fernando-valley,https://www.google.com/maps/place/Rooter+Hero+Plumbing+%26+Air+San+Fernando+Valley/data=!4m7!3m6!1s0x80c291ae6fcc9307:0x8a7ec8e42deedb04!8m2!3d34.2472206!4d-118.6012115!16s%2Fg%2F11d_2g42df!19sChIJB5PMb66RwoARBNvuLeTIfoo?authuser=0&hl=en&rclk=1
Personal Plumbing Heating & Cooling,4.9,"(1,066)",Plumber,+1 760-334-9155,https://personalplumbingsandiego.com/,https://www.google.com/maps/place/Personal+Plumbing+Heating+%26+Cooling/data=!4m7!3m6!1s0x80dc71d6d217db03:0xcdcb4274ef8ffa03!8m2!3d33.2166265!4d-117.3412534!16s%2Fg%2F11g4cj14rg!19sChIJA9sX0tZx3IARA_qP73RCy80?authuser=0&hl=en&rclk=1
SoCal Plumbing & Rooter Inc.,5.0,(53),Plumber,+1 714-482-3982,https://scalplumbing.com/brea/,https://www.google.com/maps/place/SoCal+Plumbing+%26+Rooter+Inc./data=!4m7!3m6!1s0x80dcd514d339dc79:0x142068fb23d3554!8m2!3d33.92379!4d-117.901418!16s%2Fg%2F11fzs3jsq2!19sChIJedw50xTV3IARVDU9so8GQgE?authuser=0&hl=en&rclk=1
Roberts Plumbing Hydro Jet and Rooter,4.9,(53),Plumber,+1 818-298-1344,https://thenorthridgeplumber.com/?utm_source=google&utm_medium=gbp&utm_campaign=maps,https://www.google.com/maps/place/Roberts+Plumbing+Hydro+Jet+and+Rooter/data=!4m7!3m6!1s0x80c29ae38d4de729:0xcff1a8891e3038a0!8m2!3d34.3001586!4d-118.6417726!16s%2Fg%2F11b75jlv8z!19sChIJKedNjeOawoARoDgwHomo8c8?authuser=0&hl=en&rclk=1
Accurate Plumbing,4.7,(90),Plumber,+1 530-894-1800,https://www.accurateplumbingchico.com/,https://www.google.com/maps/place/Accurate+Plumbing/data=!4m7!3m6!1s0x808328b72d051dcb:0x78715569fdf55a8c!8m2!3d39.7145362!4d-121.8210447!16s%2Fg%2F1tf31m74!19sChIJyx0FLbcog4ARjFr1_WlVcXg?authuser=0&hl=en&rclk=1
AC Plumbing Construction,4.9,(167),Plumber,+1 760-933-8854,https://www.acplumbingconstructioninc.com/,https://www.google.com/maps/place/AC+Plumbing+Construction/data=!4m7!3m6!1s0x80dc736fc0d60f35:0xb4f9323864ae539!8m2!3d33.1343112!4d-117.2790471!16s%2Fg%2F11g6wcdm3f!19sChIJNQ_WwG9z3IAROeVKhiOTTws?authuser=0&hl=en&rclk=1
Costless Plumbing Heating & Air Conditioning,4.5,(186),Plumber,+1 559-441-9600,http://www.costlessplumbing.net/,https://www.google.com/maps/place/Costless+Plumbing+Heating+%26+Air+Conditioning/data=!4m7!3m6!1s0x80945952ac878937:0x1be87dc182b79808!8m2!3d36.7524013!4d-119.6760906!16s%2Fg%2F1tdc5ghx!19sChIJN4mHrFJZlIARCJi3gsF96Bs?authuser=0&hl=en&rclk=1
Solo Plumbing Inc,5.0,(3),Plumber,+1 818-510-8517,https://soloplumbinginc.com/,https://www.google.com/maps/place/Solo+Plumbing+Inc/data=!4m7!3m6!1s0xae561154cc91fb51:0xbf8d8877f3a4f43!8m2!3d34.9541944!4d-117.978021!16s%2Fg%2F11s2n7ymt8!19sChIJUfuRzFQRVq4RQ086f4fY-As?authuser=0&hl=en&rclk=1
Redi-Rooter,4.9,(42),Plumber,+1 559-627-6790,http://redi-rooterplumbing.com/,https://www.google.com/maps/place/Redi-Rooter/data=!4m7!3m6!1s0x80952f9c2758faaf:0x7b66434c61edcdbd!8m2!3d36.327647!4d-119.2745592!16s%2Fg%2F11f11035xj!19sChIJr_pYJ5wvlYARvc3tYUxDZns?authuser=0&hl=en&rclk=1
Major League Plumbing,4.9,(67),Plumber,+1 562-380-8566,https://mlplumbing.net/,https://www.google.com/maps/place/Major+League+Plumbing/data=!4m7!3m6!1s0x694119dc312d2431:0x2a6115231357bd7d!8m2!3d35.3606114!4d-119.7024074!16s%2Fg%2F11rhc95kd4!19sChIJMSQtMdwZQWkRfb1XEyMVYSo?authuser=0&hl=en&rclk=1
Cali Plumbing & Rooter,5.0,(49),Plumber,+1 818-724-2728,https://caliplumbing.biz/,https://www.google.com/maps/place/Cali+Plumbing+%26+Rooter/data=!4m7!3m6!1s0x468304fd8df6fde1:0xe5133a46ec04037!8m2!3d34.2231225!4d-118.4386521!16s%2Fg%2F11rwm6mxzq!19sChIJ4f32jf0Eg0YRN0DAbqQzUQ4?authuser=0&hl=en&rclk=1
Snake 'N' Laterals,4.9,(156),Plumber,+1 559-712-9039,http://www.snakenlaterals.com/,https://www.google.com/maps/place/Snake+%27N%27+Laterals/data=!4m7!3m6!1s0x80945953b4bef751:0x2cd1f21e1cdd9c19!8m2!3d36.8159273!4d-119.6918182!16s%2Fg%2F11gfjcnmc6!19sChIJUfe-tFNZlIARGZzdHB7y0Sw?authuser=0&hl=en&rclk=1
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,4.9,(44),Plumber,+1 949-674-3723,https://www.calischoice.com/?utm_campaign=gmb,https://www.google.com/maps/place/Cali%27s+Choice+Plumbing+%26+Restoration+-+24+Hour+Emergency+Plumber/data=!4m7!3m6!1s0x80dcdc9ab4919cc9:0x4d1c438b3c8bd967!8m2!3d33.7236439!4d-117.7717855!16s%2Fg%2F11c7sr23vn!19sChIJyZyRtJrc3IARZ9mLPItDHE0?authuser=0&hl=en&rclk=1
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
Cali's Choice Plumbing & Restoration - 24 Hour Emergency Plumber,,,,,,
